Question,Answer 1,#1,Answer 2,#2,Answer 3,#3,Answer 4,#4,Answer 5,#5,Answer 6,#6,Answer 7,#7
Name A Number Thats Associated With Being Lucky Or Unlucky,7,68.0,13,26.0,3,5,,,,,,,,
Name The Most Used Piece Of Furniture In A House.,Couch,55.0,Bed,23.0,Arm Chair,15,,,,,,,,
Name A Job In Which An Attractive Person Probably Makes Better Tips.,Server,65.0,Exotic Dancer,19.0,Bartender,13,,,,,,,,
Name A Prop used By Tap Dancers,Cane,65.0,Top Hat,28.0,Baton,5,,,,,,,,
If You Drew Homer Simpsons Name In A Secret Santa Exchange What Would You Buy Him?,Beer,67.0,Donuts,24.0,Bowling Ball,5,,,,,,,,
Name Something You Do To An Item Before Giving It As A Gift,Wrap It,61.0,Remove Price Tag,27.0,Buy It,4,,,,,,,,
Name A Place Where It Might Be Romantic To Get Stranded With Your Partner,Island/Beach,61.0,Park,28.0,Cabin/Lodge,6,,,,,,,,
Name A Good Gift For Someone Who Is Always Late.,Watch,58.0,Alarm Clock,34.0,Calendar,3,,,,,,,,
Why Might A Family Move Into A Bigger House?,Family Has Grown,61.0,Want More Space,33.0,Can Afford More,5,,,,,,,,
Other Than Movie Tickets Name Something A Crowded Movie Theatre Might Run Out Of.,Popcorn,51.0,Space,30.0,Candy,8,,,,,,,,
Name Something You Should Probably Book Ahead Of Time If Youre Going On Vacation.,Hotel,73.0,Flight,23.0,Car,3,,,,,,,,
Name Something People Bet On,Horses Races,68.0,Sports,20.0,Card Games,10,,,,,,,,
Name A Character Whos Known For Almost Ruining Christmas.,Grinch,67.0,Ebenezer Scrooge,28.0,Charlie Brown,4,,,,,,,,
Name A City Where Youd Hate The Long Commute To Work.,New York City,53.0,Los Angeles,21.0,Chicago,18,,,,,,,,
Name Something Thats Not Allowed In Some Hotels.,Pets,61.0,Smoking,29.0,Children,5,,,,,,,,
Name Something That Might Happen If You Eat While Driving.,Crash,71.0,Spill,17.0,Choke,11,,,,,,,,
If Adults Trick Or Treated What Might They Request Instead Of Candy?,Money,74.0,Alcohol,17.0,Cigarettes,4,,,,,,,,
Name A Word Or Phrase Used For Cooking On The Grill,Barbecue,64.0,Grilling,30.0,Cookout,5,,,,,,,,
What Might You Ask To Borrow From Someone At The Laundromat?,Detergent,69.0,Change,24.0,Dryer Sheets,6,,,,,,,,
Which Festive Holiday Was More Fun When You Were A Kid?,Christmas,51.0,Halloween,19.0,Easter,16,,,,,,,,
What Would You Be Surprised To Hear That A Married Couple Does Separately?,Sleep,59.0,Vacation,16.0,Eat Meals,13,,,,,,,,
Name A Reason You Wouldnt Want To Live Next Door To A Movie Star,Paparazzi,66.0,Loud Parties,19.0,Fans,9,,,,,,,,
